Industry,Company,Contact_Party,Contact_Type,Cat 1,Cat 2,Cat 3,Cat 4,Cat 1 Label,Cat 2 Label,Cat 3 Label,Cat 4 Label
E-Commerce,COGNIGY,Customer,External,2,3,3,4,Personalization & Engagement,Multimodal AI,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,5,1,1,Personalization & Engagement,Marketing & Personalized AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,5,1,3,Personalization & Engagement,Marketing & Personalized AI,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,5,1,4,Personalization & Engagement,Marketing & Personalized AI,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,5,2,1,Personalization & Engagement,Marketing & Personalized AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,5,2,3,Personalization & Engagement,Marketing & Personalized AI,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,5,2,4,Personalization & Engagement,Marketing & Personalized AI,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,5,3,1,Personalization & Engagement,Marketing & Personalized AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,5,3,3,Personalization & Engagement,Marketing & Personalized AI,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,5,3,4,Personalization & Engagement,Marketing & Personalized AI,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,1,1,1,Customer Support & Query Resolution,Conversational AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,1,1,3,Customer Support & Query Resolution,Conversational AI,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,1,1,4,Customer Support & Query Resolution,Conversational AI,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,1,2,1,Customer Support & Query Resolution,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,1,2,3,Customer Support & Query Resolution,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,1,2,4,Customer Support & Query Resolution,Conversational AI,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,1,3,1,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,1,3,3,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,1,3,4,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,2,1,1,Customer Support & Query Resolution,Multi-Agent System,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,2,1,3,Customer Support & Query Resolution,Multi-Agent System,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,2,1,4,Customer Support & Query Resolution,Multi-Agent System,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,2,2,1,Customer Support & Query Resolution,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,2,2,3,Customer Support & Query Resolution,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,2,2,4,Customer Support & Query Resolution,Multi-Agent System,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,2,3,1,Customer Support & Query Resolution,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,2,3,3,Customer Support & Query Resolution,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,2,3,4,Customer Support & Query Resolution,Multi-Agent System,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,3,1,1,Customer Support & Query Resolution,Multimodal AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,3,1,3,Customer Support & Query Resolution,Multimodal AI,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,3,1,4,Customer Support & Query Resolution,Multimodal AI,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,3,2,1,Customer Support & Query Resolution,Multimodal AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,3,2,3,Customer Support & Query Resolution,Multimodal AI,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,3,2,4,Customer Support & Query Resolution,Multimodal AI,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,3,3,1,Customer Support & Query Resolution,Multimodal AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,3,3,3,Customer Support & Query Resolution,Multimodal AI,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,3,3,4,Customer Support & Query Resolution,Multimodal AI,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,5,1,1,Customer Support & Query Resolution,Marketing & Personalized AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,5,1,3,Customer Support & Query Resolution,Marketing & Personalized AI,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,5,1,4,Customer Support & Query Resolution,Marketing & Personalized AI,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,5,2,1,Customer Support & Query Resolution,Marketing & Personalized AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,5,2,3,Customer Support & Query Resolution,Marketing & Personalized AI,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,5,2,4,Customer Support & Query Resolution,Marketing & Personalized AI,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,5,3,1,Customer Support & Query Resolution,Marketing & Personalized AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,4,5,3,3,Customer Support & Query Resolution,Marketing & Personalized AI,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,4,5,3,4,Customer Support & Query Resolution,Marketing & Personalized AI,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,1,1,1,Process Automation,Conversational AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,1,1,3,Process Automation,Conversational AI,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,1,1,4,Process Automation,Conversational AI,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,1,2,1,Process Automation,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,1,2,3,Process Automation,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,1,2,4,Process Automation,Conversational AI,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,1,3,1,Process Automation,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,1,3,3,Process Automation,Conversational AI,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,1,3,4,Process Automation,Conversational AI,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,2,1,1,Process Automation,Multi-Agent System,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,2,1,3,Process Automation,Multi-Agent System,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,2,1,4,Process Automation,Multi-Agent System,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,2,2,1,Process Automation,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,2,2,3,Process Automation,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,2,2,4,Process Automation,Multi-Agent System,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,2,3,1,Process Automation,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,2,3,3,Process Automation,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,2,3,4,Process Automation,Multi-Agent System,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,3,1,1,Process Automation,Multimodal AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,3,1,3,Process Automation,Multimodal AI,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,3,1,4,Process Automation,Multimodal AI,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,3,2,1,Process Automation,Multimodal AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,3,2,3,Process Automation,Multimodal AI,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,3,2,4,Process Automation,Multimodal AI,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,3,3,1,Process Automation,Multimodal AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,3,3,3,Process Automation,Multimodal AI,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,3,3,4,Process Automation,Multimodal AI,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,5,1,1,Process Automation,Marketing & Personalized AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,5,1,3,Process Automation,Marketing & Personalized AI,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,5,1,4,Process Automation,Marketing & Personalized AI,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,5,2,1,Process Automation,Marketing & Personalized AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,5,2,3,Process Automation,Marketing & Personalized AI,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,5,2,4,Process Automation,Marketing & Personalized AI,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,5,3,1,Process Automation,Marketing & Personalized AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,5,5,3,3,Process Automation,Marketing & Personalized AI,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,5,5,3,4,Process Automation,Marketing & Personalized AI,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,infimind,Company,Internal,3,1,1,1,Content Creation & Enhancement,Conversational AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,infimind,Company,Internal,3,1,1,2,Content Creation & Enhancement,Conversational AI,Awareness & Brand Discovery,Text-to-Image AI
E-Commerce,infimind,Company,Internal,3,1,2,1,Content Creation & Enhancement,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,infimind,Company,Internal,3,1,2,2,Content Creation & Enhancement,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Image AI
E-Commerce,infimind,Company,Internal,3,1,4,1,Content Creation & Enhancement,Conversational AI,Customer Retention & Loyalty,Text-to-Text AI
E-Commerce,infimind,Company,Internal,3,1,4,2,Content Creation & Enhancement,Conversational AI,Customer Retention & Loyalty,Text-to-Image AI
E-Commerce,Meituan,Customer,External,4,1,2,1,Customer Support & Query Resolution,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Meituan,Customer,External,4,1,3,1,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Meituan,Customer,External,4,1,4,1,Customer Support & Query Resolution,Conversational AI,Customer Retention & Loyalty,Text-to-Text AI
E-Commerce,Meituan,Customer,External,4,4,2,1,Customer Support & Query Resolution,Process Automation (RPA),Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Meituan,Customer,External,4,4,3,1,Customer Support & Query Resolution,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Meituan,Customer,External,4,4,4,1,Customer Support & Query Resolution,Process Automation (RPA),Customer Retention & Loyalty,Text-to-Text AI
E-Commerce,Meituan,Customer,External,4,6,2,1,Customer Support & Query Resolution,Predictive Analysis,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Meituan,Customer,External,4,6,3,1,Customer Support & Query Resolution,Predictive Analysis,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Meituan,Customer,External,4,6,4,1,Customer Support & Query Resolution,Predictive Analysis,Customer Retention & Loyalty,Text-to-Text AI
E-Commerce,Meituan,Customer,External,5,1,2,1,Process Automation,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Meituan,Customer,External,5,1,3,1,Process Automation,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Meituan,Customer,External,5,1,4,1,Process Automation,Conversational AI,Customer Retention & Loyalty,Text-to-Text AI
E-Commerce,Meituan,Customer,External,5,4,2,1,Process Automation,Process Automation (RPA),Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Meituan,Customer,External,5,4,3,1,Process Automation,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Meituan,Customer,External,5,4,4,1,Process Automation,Process Automation (RPA),Customer Retention & Loyalty,Text-to-Text AI
E-Commerce,Meituan,Customer,External,5,6,2,1,Process Automation,Predictive Analysis,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Meituan,Customer,External,5,6,3,1,Process Automation,Predictive Analysis,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Meituan,Customer,External,5,6,4,1,Process Automation,Predictive Analysis,Customer Retention & Loyalty,Text-to-Text AI
Healthcare,Apolo Hospital,Customer,External,1,1,3,1,Summarization & Insights,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Apolo Hospital,Customer,External,1,1,3,2,Summarization & Insights,Conversational AI,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Apolo Hospital,Customer,External,1,3,3,1,Summarization & Insights,Multimodal AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Apolo Hospital,Customer,External,1,3,3,2,Summarization & Insights,Multimodal AI,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Apolo Hospital,Customer,External,1,4,3,1,Summarization & Insights,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Apolo Hospital,Customer,External,1,4,3,2,Summarization & Insights,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Apolo Hospital,Customer,External,4,1,3,1,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Apolo Hospital,Customer,External,4,1,3,2,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Apolo Hospital,Customer,External,4,3,3,1,Customer Support & Query Resolution,Multimodal AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Apolo Hospital,Customer,External,4,3,3,2,Customer Support & Query Resolution,Multimodal AI,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Apolo Hospital,Customer,External,4,4,3,1,Customer Support & Query Resolution,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Apolo Hospital,Customer,External,4,4,3,2,Customer Support & Query Resolution,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,10BedICU,Company,Internal,1,1,3,1,Summarization & Insights,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,10BedICU,Company,Internal,1,1,3,2,Summarization & Insights,Conversational AI,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,10BedICU,Company,Internal,1,3,3,1,Summarization & Insights,Multimodal AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,10BedICU,Company,Internal,1,3,3,2,Summarization & Insights,Multimodal AI,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,10BedICU,Company,Internal,1,4,3,1,Summarization & Insights,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,10BedICU,Company,Internal,1,4,3,2,Summarization & Insights,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,HCA HEALTHCARE,Company,Internal,1,1,3,1,Summarization & Insights,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,HCA HEALTHCARE,Company,Internal,2,1,3,1,Personalization & Engagement,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,1,1,2,1,Summarization & Insights,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,1,1,2,2,Summarization & Insights,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,1,1,3,1,Summarization & Insights,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,1,1,3,2,Summarization & Insights,Conversational AI,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,1,2,2,1,Summarization & Insights,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,1,2,2,2,Summarization & Insights,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,1,2,3,1,Summarization & Insights,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,1,2,3,2,Summarization & Insights,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,1,4,2,1,Summarization & Insights,Process Automation (RPA),Consideration & Purchase Decision-Making,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,1,4,2,2,Summarization & Insights,Process Automation (RPA),Consideration & Purchase Decision-Making,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,1,4,3,1,Summarization & Insights,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,1,4,3,2,Summarization & Insights,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,2,1,2,1,Personalization & Engagement,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,2,1,2,2,Personalization & Engagement,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,2,1,3,1,Personalization & Engagement,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,2,1,3,2,Personalization & Engagement,Conversational AI,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,2,2,2,1,Personalization & Engagement,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,2,2,2,2,Personalization & Engagement,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,2,2,3,1,Personalization & Engagement,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,2,2,3,2,Personalization & Engagement,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,2,4,2,1,Personalization & Engagement,Process Automation (RPA),Consideration & Purchase Decision-Making,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,2,4,2,2,Personalization & Engagement,Process Automation (RPA),Consideration & Purchase Decision-Making,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,2,4,3,1,Personalization & Engagement,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,2,4,3,2,Personalization & Engagement,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,4,1,2,1,Customer Support & Query Resolution,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,4,1,2,2,Customer Support & Query Resolution,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,4,1,3,1,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
Healthcare,Mayo Clinic,Customer,External,4,1,3,2,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Text-to-Image AI
Healthcare,Mayo Clinic,Customer,External,4,2,2,1,Customer Support & Query Resolution,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Text AI
